# --- Sumário de Desempenho do Algoritmo PSO ---
# Número de Execuções: 20
# Data e Hora da Análise: 20250703_201348
#
# Parâmetros da Simulação:
#   Limites Funcao: (-500, 500)
#   Num Particulas: 15
#   Num Iteracoes: 50
#   W Max: 0.7
#   W Min: 0.4
#   C1: 1
#   C2: 1
#   Tolerancia: 1e-06
#   Iteracoes Sem Melhora Limite: 20
#
Métrica,Media,Desvio_Padrao
Melhor Valor Global Final,-498.9998,0.0002
Iterações Executadas (até convergência),50.0000,0.0000
Avaliações da Função Objetivo (Total),750.0000,0.0000
Multiplicações (Total),63450.0000,0.0000
Divisões (Total),7800.0000,0.0000
Avaliações da Função Objetivo (Mínimo Global),735.0500,11.9141
Multiplicações (Mínimo Global),61799.4500,964.2938
Divisões (Mínimo Global),7600.7000,118.6974
