# --- Sumário de Desempenho do Algoritmo PSO ---
# Número de Execuções: 3
# Data e Hora da Análise: 20250702_210655
#
# Parâmetros da Simulação:
#   Limites Funcao: (-500, 500)
#   Num Particulas: 20
#   Num Iteracoes: 100
#   W Max: 0.7
#   W Min: 0.2
#   C1: 2
#   C2: 2
#   Tolerancia: 1e-06
#   Iteracoes Sem Melhora Limite: 20
#
Métrica,Media,Desvio_Padrao
Melhor Valor Global Final,-499.0000,0.0000
Iterações Executadas (até convergência),100.0000,0.0000
Avaliações da Função Objetivo (Total),2000.0000,0.0000
Multiplicações (Total),167900.0000,0.0000
Divisões (Total),20600.0000,0.0000
Avaliações da Função Objetivo (Mínimo Global),1982.0000,2.0000
Multiplicações (Mínimo Global),165991.6667,597.6122
Divisões (Mínimo Global),20369.6667,70.0381
