# --- Sumário de Desempenho do Algoritmo PSO ---
# Número de Execuções: 20
# Data e Hora da Análise: 20250703_233102
#
# Parâmetros da Simulação:
#   Limites Funcao: (-500, 500)
#   Num Particulas: 15
#   Num Iteracoes: 100
#   W Max: 0.7
#   W Min: 0.2
#   C1: 2
#   C2: 2
#   Tolerancia: 1e-06
#   Iteracoes Sem Melhora Limite: 20
#
Métrica,Media,Desvio_Padrao
Melhor Valor Global Final,-499.0000,0.0000
Iterações Executadas (até convergência),84.6000,31.3493
Avaliações da Função Objetivo (Total),1272.7500,464.4337
Multiplicações (Total),107500.1500,39561.0167
Divisões (Total),13216.6000,4861.0452
Avaliações da Função Objetivo (Mínimo Global),1199.1500,584.2893
Multiplicações (Mínimo Global),101104.2500,49443.8534
Divisões (Mínimo Global),12432.2000,6078.1102
