Simulacao,Melhor Valor Encontrado,Gerações para Convergência,Avaliações Função Objetivo (Total),Multiplicações (Total),Divisões (Total),Avaliações (no Melhor Global),Multiplicações (no Melhor Global),Divisões (no Melhor Global)
1,-494.12285496399335,52,2600,100634,13000,1600,61944,8000
2,-495.43890588903923,43,2150,83172,10750,1150,44474,5750
3,-358.60892130050587,36,1800,69644,9000,800,30928,4000
4,-495.3153440145434,49,2450,94814,12250,1450,56114,7250
5,-426.0350731634734,29,1450,56112,7250,450,17406,2250
6,-292.83925104370167,48,2400,92850,12000,1400,54142,7000
7,-485.47798674957886,49,2450,94748,12250,1450,56062,7250
8,-488.2513146377346,99,4950,191510,24750,3950,152852,19750
9,-491.5961089736744,86,4300,166236,21500,3300,127556,16500
10,-489.74973139247095,47,2350,90916,11750,1350,52214,6750
11,-498.3534389063279,80,4000,154708,20000,3000,116002,15000
12,-480.27560603052547,62,3100,119938,15500,2100,81254,10500
13,-458.315206583364,62,3100,119862,15500,2100,81190,10500
14,-399.2441643290779,47,2350,90894,11750,1350,52188,6750
15,-341.5137420845932,51,2550,98604,12750,1550,59938,7750
16,-488.4834126094611,60,3000,115970,15000,2000,77318,10000
17,-498.2569316252456,77,3850,149024,19250,2850,110300,14250
18,-472.8101888994817,60,3000,115990,15000,2000,77334,10000
19,-488.01915151340353,45,2250,87028,11250,1250,48340,6250
20,-489.68739233679395,41,2050,79290,10250,1050,40590,5250
