# --- Sumário de Desempenho do Algoritmo PSO ---
# Número de Execuções: 20
# Data e Hora da Análise: 20250703_195907
#
# Parâmetros da Simulação:
#   Limites Funcao: (-500, 500)
#   Num Particulas: 15
#   Num Iteracoes: 50
#   W Max: 0.7
#   W Min: 0.2
#   C1: 1
#   C2: 1
#   Tolerancia: 1e-06
#   Iteracoes Sem Melhora Limite: 20
#
Métrica,Media,Desvio_Padrao
Melhor Valor Global Final,-498.8293,0.7632
Iterações Executadas (até convergência),50.0000,0.0000
Avaliações da Função Objetivo (Total),750.0000,0.0000
Multiplicações (Total),63450.0000,0.0000
Divisões (Total),7800.0000,0.0000
Avaliações da Função Objetivo (Mínimo Global),735.5000,13.2605
Multiplicações (Mínimo Global),61886.4500,1022.6312
Divisões (Mínimo Global),7611.0500,126.3231
