Simulacao,Melhor Valor Encontrado,Gerações para Convergência,Avaliações Função Objetivo (Total),Multiplicações (Total),Divisões (Total),Avaliações (no Melhor Global),Multiplicações (no Melhor Global),Divisões (no Melhor Global)
1,-278.50848175063265,33,1155,44764,5775,455,17624,2275
2,-496.3376731137119,74,2590,100384,12950,1890,73252,9450
3,-498.74635375204855,73,2555,99028,12775,1855,71898,9275
4,-488.8443066591126,45,1575,61082,7875,875,33918,4375
5,-498.949622147529,103,3605,139834,18025,2905,112676,14525
6,-498.9190595954804,71,2485,96322,12425,1785,69200,8925
7,-496.8825682394974,68,2380,92248,11900,1680,65128,8400
8,-248.2641946411895,62,2170,84124,10850,1470,56988,7350
9,-498.70961334332213,77,2695,104486,13475,1995,77318,9975
10,-477.146470142519,40,1400,54246,7000,700,27100,3500
11,-498.9358651862145,52,1820,70544,9100,1120,43414,5600
12,-498.5695032989463,78,2730,105842,13650,2030,78724,10150
13,-498.9278333027909,51,1785,69180,8925,1085,42060,5425
14,-498.29494911777675,56,1960,75944,9800,1260,48820,6300
15,-498.92866260924956,82,2870,111330,14350,2170,84176,10850
16,-473.16549121948816,38,1330,51548,6650,630,24406,3150
17,-498.8612637690052,55,1925,74652,9625,1225,47488,6125
18,-496.84608204252385,46,1610,62372,8050,910,35240,4550
19,-498.6242625353714,79,2765,107162,13825,2065,80034,10325
20,-498.51463101777216,78,2730,105788,13650,2030,78670,10150
