# --- Sumário de Desempenho do Algoritmo PSO ---
# Número de Execuções: 20
# Data e Hora da Análise: 20250703_135658
#
# Parâmetros da Simulação:
#   Limites Funcao: (-500, 500)
#   Num Particulas: 10
#   Num Iteracoes: 50
#   W Max: 0.7
#   W Min: 0.2
#   C1: 1
#   C2: 1
#   Tolerancia: 1e-06
#   Iteracoes Sem Melhora Limite: 20
#
Métrica,Media,Desvio_Padrao
Melhor Valor Global Final,-472.1859,80.4824
Iterações Executadas (até convergência),49.9500,0.2236
Avaliações da Função Objetivo (Total),500.0000,0.0000
Multiplicações (Total),42926.1000,106.8840
Divisões (Total),5297.2500,12.2984
Avaliações da Função Objetivo (Mínimo Global),490.2500,5.8388
Multiplicações (Mínimo Global),41933.8500,490.8062
Divisões (Mínimo Global),5176.6500,60.5390
