Simulacao,Melhor Valor Encontrado,Gerações para Convergência,Avaliações Função Objetivo (Total),Multiplicações (Total),Divisões (Total),Avaliações (no Melhor Global),Multiplicações (no Melhor Global),Divisões (no Melhor Global)
1,-498.90340223662,114,3990,154698,19950,3290,127536,16450
2,-421.64764866383024,46,1610,62400,8050,910,35256,4550
3,-496.16960548737984,68,2380,92280,11900,1680,65122,8400
4,-490.5980671325987,47,1645,63748,8225,945,36624,4725
5,-494.1546486969812,70,2450,95004,12250,1750,67860,8750
6,-498.94864885809403,94,3290,127568,16450,2590,100412,12950
7,-408.6436109248515,34,1190,46104,5950,490,18968,2450
8,-376.43941016114724,30,1050,40704,5250,350,13542,1750
9,-483.38525580049344,67,2345,90870,11725,1645,63722,8225
10,-379.4566059447743,23,805,31184,4025,105,4048,525
11,-404.34446803443944,37,1295,50242,6475,595,23064,2975
12,-488.9870823013241,54,1890,73260,9450,1190,46122,5950
13,-253.5371006456839,59,2065,80024,10325,1365,52908,6825
14,-373.661241914773,44,1540,59704,7700,840,32546,4200
15,-494.7399014900623,50,1750,67852,8750,1050,40688,5250
16,-486.17951123798355,63,2205,85456,11025,1505,58310,7525
17,-498.4330301953275,126,4410,170914,22050,3710,143776,18550
18,-393.21213532328125,28,980,38006,4900,280,10832,1400
19,-487.02454069943843,39,1365,52926,6825,665,25758,3325
20,-451.1863992818985,41,1435,55630,7175,735,28496,3675
