Métrica,Media,Desvio_Padrao
Melhor Valor Encontrado,-443.98261575154913,65.73162063234949
Gerações para Convergência,56.7,27.61597554429606
Avaliações Função Objetivo (Total),1984.5,966.559144050362
Multiplicações (Total),76928.7,37468.52241422476
Divisões (Total),9922.5,4832.79572025181
Avaliações (no Melhor Global),1284.5,966.559144050362
Multiplicações (no Melhor Global),49779.5,37469.88853592624
Divisões (no Melhor Global),6422.5,4832.79572025181
