Métrica,Media,Desvio_Padrao
Melhor Valor Encontrado,-465.16196038250837,37.28379581936051
Gerações para Convergência,50.75,19.00657780874821
Avaliações Função Objetivo (Total),2537.5,950.3288904374107
Multiplicações (Total),98407.6,36864.070464342374
Divisões (Total),12687.5,4751.6444521870535
Avaliações (no Melhor Global),1537.5,950.3288904374107
Multiplicações (no Melhor Global),59607.8,36864.29713022158
Divisões (no Melhor Global),7687.5,4751.6444521870535
