# --- Sumário de Desempenho do Algoritmo PSO ---
# Número de Execuções: 20
# Data e Hora da Análise: 20250703_153229
#
# Parâmetros da Simulação:
#   Limites Funcao: (-500, 500)
#   Num Particulas: 10
#   Num Iteracoes: 50
#   W Max: 0.7
#   W Min: 0.4
#   C1: 1
#   C2: 1
#   Tolerancia: 1e-06
#   Iteracoes Sem Melhora Limite: 20
#
Métrica,Media,Desvio_Padrao
Melhor Valor Global Final,-473.6465,78.0794
Iterações Executadas (até convergência),50.0000,0.0000
Avaliações da Função Objetivo (Total),500.0000,0.0000
Multiplicações (Total),42950.0000,0.0000
Divisões (Total),5300.0000,0.0000
Avaliações da Função Objetivo (Mínimo Global),489.9000,9.1932
Multiplicações (Mínimo Global),41824.7500,734.0350
Divisões (Mínimo Global),5163.7000,90.8614
