# --- Sumário de Desempenho do Algoritmo PSO ---
# Número de Execuções: 20
# Data e Hora da Análise: 20250703_134817
#
# Parâmetros da Simulação:
#   Limites Funcao: (-500, 500)
#   Num Particulas: 10
#   Num Iteracoes: 50
#   W Max: 0.7
#   W Min: 0.2
#   C1: 2
#   C2: 2
#   Tolerancia: 1e-06
#   Iteracoes Sem Melhora Limite: 20
#
Métrica,Media,Desvio_Padrao
Melhor Valor Global Final,-498.8440,0.5586
Iterações Executadas (até convergência),50.0000,0.0000
Avaliações da Função Objetivo (Total),500.0000,0.0000
Multiplicações (Total),42950.0000,0.0000
Divisões (Total),5300.0000,0.0000
Avaliações da Função Objetivo (Mínimo Global),492.8500,5.2843
Multiplicações (Mínimo Global),42080.5500,401.0102
Divisões (Mínimo Global),5195.2500,49.7381
