Métrica,Media,Desvio_Padrao
Melhor Valor Encontrado,-498.7142946301026,0.30540878056953163
Gerações para Convergência,200.0,0.0
Avaliações Função Objetivo (Total),1750.0,197.9898987322333
Multiplicações (Total),136525.0,15605.846660787103
Divisões (Total),17815.0,2036.467529817257
Avaliações (no Melhor Global),1050.0,197.9898987322333
Multiplicações (no Melhor Global),81323.0,15594.532952288118
Divisões (no Melhor Global),10615.0,2036.467529817257
